"date","week","light","area","plant","diameter1","diameter2"
"2021-05-26",2,"HSH60","4HSH60","34HSH60",21,19
"2021-05-26",2,"HSH60","4HSH60","44HSH60",18,19
"2021-05-26",2,"SH30","1SH30","11SH30",14,18
"2021-05-26",2,"SH30","1SH30","21SH30",10,10
"2021-05-26",2,"SH30","1SH30","31SH30",18,17
"2021-05-26",2,"SH30","1SH30","41SH30",15,15
"2021-05-26",2,"SH30","2SH30","12SH30",14,20
"2021-05-26",2,"SH30","2SH30","22SH30",13,16
"2021-05-26",2,"SH30","2SH30","32SH30",12,15
"2021-05-26",2,"SH30","2SH30","42SH30",15,18
"2021-05-26",2,"SH30","3SH30","13SH30",15,19
"2021-05-26",2,"SH30","3SH30","23SH30",18,20
"2021-05-26",2,"SH30","3SH30","33SH30",16,17
"2021-05-26",2,"SH30","3SH30","43SH30",18,16
"2021-05-26",2,"SH30","4SH30","14SH30",18,18
"2021-05-26",2,"SH30","4SH30","24SH30",19,17
"2021-05-26",2,"SH30","4SH30","34SH30",15,12
"2021-05-26",2,"SH30","4SH30","44SH30",20,14
"2021-05-26",2,"FL","1FL","11FL",20,20
"2021-05-26",2,"FL","1FL","21FL",24,22
"2021-05-26",2,"FL","1FL","31FL",22,23
"2021-05-26",2,"FL","1FL","41FL",21,20
"2021-05-26",2,"FL","2FL","12FL",20,18
"2021-05-26",2,"FL","2FL","22FL",16,19
"2021-05-26",2,"FL","2FL","32FL",20,19
"2021-05-26",2,"FL","2FL","42FL",21,20
"2021-05-26",2,"FL","3FL","13FL",23,21
"2021-05-26",2,"FL","3FL","23FL",22,21
"2021-05-26",2,"FL","3FL","33FL",20,20
"2021-05-26",2,"FL","3FL","43FL",22,19
"2021-05-26",2,"FL","4FL","14FL",24,18
"2021-05-26",2,"FL","4FL","24FL",23,20
"2021-05-26",2,"FL","4FL","34FL",20,23
"2021-05-26",2,"FL","4FL","44FL",21,22
"2021-06-08",3,"SH60","1SH60","11SH60",26,30
"2021-06-08",3,"SH60","1SH60","21SH60",25,28
"2021-06-08",3,"SH60","1SH60","31SH60",24,29
"2021-06-08",3,"SH60","1SH60","41SH60",24,29
"2021-06-08",3,"SH60","2SH60","12SH60",30,30
"2021-06-08",3,"SH60","2SH60","22SH60",31,33
"2021-06-08",3,"SH60","2SH60","32SH60",33,32
"2021-06-08",3,"SH60","2SH60","42SH60",28,34
"2021-06-08",3,"SH60","3SH60","13SH60",29,30
"2021-06-08",3,"SH60","3SH60","23SH60",30,29
"2021-06-08",3,"SH60","3SH60","33SH60",33,28
