"date","week","light","area","plant","height","diameter1","diameter2","number_leaves","length_leaves","number_flowers"
2021-05-14,2,"FL","4FL","24FL",34,30,21,62,7,0
2021-05-14,2,"FL","4FL","34FL",30,30,23,52,5,0
2021-05-14,2,"FL","4FL","44FL",30,29,22,52,6,0
2021-05-14,2,"SH30","1SH30","11SH30",20,22,28,28,5,0
2021-05-14,2,"SH30","1SH30","21SH30",38,52,18,20,8,0
2021-05-14,2,"SH30","1SH30","31SH30",33,46,23,44,8,0
2021-05-14,2,"SH30","1SH30","41SH30",23,25,20,45,8,0
2021-05-14,2,"SH30","2SH30","12SH30",20,43,45,62,7,0
2021-05-14,2,"SH30","2SH30","22SH30",20,29,24,38,6,0
2021-05-14,2,"SH30","2SH30","32SH30",26,55,50,60,7,0
2021-05-14,2,"SH30","2SH30","42SH30",9,20,22,35,5,0
2021-05-14,2,"SH30","3SH30","13SH30",34,39,45,60,7,0
2021-05-14,2,"SH30","3SH30","23SH30",30,40,34,50,6,0
2021-05-14,2,"SH30","3SH30","33SH30",20,40,44,45,11,0
2021-05-14,2,"SH30","3SH30","43SH30",13,32,16,42,12,0
2021-05-14,2,"SH30","4SH30","14SH30",18,28,20,45,7,0
2021-05-14,2,"SH30","4SH30","24SH30",24,36,21,40,6,0
2021-05-14,2,"SH30","4SH30","34SH30",25,30,21,40,9,0
2021-05-14,2,"SH30","4SH30","44SH30",38,29,26,50,6,0
2021-05-14,2,"HSH60","1HSH60","11HSH60",30,30,27,55,6,0
2021-05-14,2,"HSH60","1HSH60","21HSH60",14,37,41,62,8,0
2021-05-14,2,"HSH60","1HSH60","31HSH60",20,32,23,52,8,0
2021-05-14,2,"HSH60","1HSH60","41HSH60",21,19,20,75,5,0
2021-05-14,2,"HSH60","2HSH60","12HSH60",32,20,10,30,7,0
2021-05-14,2,"HSH60","2HSH60","22HSH60",18,37,13,23,6,0
2021-05-14,2,"HSH60","2HSH60","32HSH60",36,30,46,62,8,0
2021-05-14,2,"HSH60","2HSH60","42HSH60",20,40,20,42,5,0
2021-05-14,2,"HSH60","3HSH60","13HSH60",27,38,47,62,6,0
2021-05-14,2,"HSH60","3HSH60","23HSH60",20,45,32,52,7,0
2021-05-14,2,"HSH60","3HSH60","33HSH60",20,38,35,42,5,0
2021-05-14,2,"HSH60","3HSH60","43HSH60",25,20,36,43,8,0
2021-05-14,2,"HSH60","4HSH60","14HSH60",22,34,21,33,5,0
2021-05-14,2,"HSH60","4HSH60","24HSH60",16,26,24,41,6,0
2021-05-14,2,"HSH60","4HSH60","34HSH60",19,25,34,61,9,0
2021-05-14,2,"HSH60","4HSH60","44HSH60",20,22,33,35,7,0
2021-05-14,2,"SH60","1SH60","11SH60",22,22,18,45,6,0
2021-05-14,2,"SH60","1SH60","21SH60",20,37,29,43,9,0
2021-05-14,2,"SH60","1SH60","31SH60",25,25,16,42,7,0
2021-05-14,2,"SH60","1SH60","41SH60",26,27,22,36,5,0
2021-05-14,2,"SH60","2SH60","12SH60",29,37,22,42,7,0
2021-05-14,2,"SH60","2SH60","22SH60",23,30,11,26,5,0
2021-05-14,2,"SH60","2SH60","32SH60",30,34,15,25,6,0
2021-05-14,2,"SH60","2SH60","42SH60",33,47,20,42,8,0
2021-05-14,2,"SH60","3SH60","13SH60",26,40,21,44,8,0
2021-05-14,2,"SH60","3SH60","23SH60",20,30,23,32,6,0
2021-05-14,2,"SH60","3SH60","33SH60",30,37,20,34,8,0
2021-05-14,2,"SH60","3SH60","43SH60",28,40,34,53,5,0
2021-05-14,2,"SH60","4SH60","14SH60",30,42,33,36,7,0
2021-05-14,2,"SH60","4SH60","24SH60",26,36,21,33,4,0
2021-05-14,2,"SH60","4SH60","34SH60",25,35,30,27,6,0
2021-05-14,2,"SH60","4SH60","44SH60",20,39,29,25,5,0
2021-05-26,3,"FL","1FL","11FL",32,31,41,89,6,0
2021-05-26,3,"FL","1FL","21FL",31,30,35,85,7,0
2021-05-26,3,"FL","1FL","31FL",40,41,39,90,8,0
