"date","week","light","plant","height","diameter1","diameter2","electro","number_flowers"
"2021-12-07",17,"SH20","1SH20",25,24,41,0.1,0
"2021-12-07",17,"SH20","2SH20",70,35,40,0.11,0
"2021-12-07",17,"SH20","3SH20",85,40,40,0.09,0
"2021-12-07",17,"SH20","4SH20",95,40,31,0.09,0
"2021-12-07",17,"SH20","5SH20",110,31,32,0.11,0
"2021-12-07",17,"SH20","6SH20",85,24,33,0.11,0
"2021-12-07",17,"SH20","7SH20",32,33,35,0.12,0
"2021-12-07",17,"SH20","8SH20",120,30,35,0.12,0
"2021-12-07",17,"SH20","9SH20",25,30,37,0.1,0
"2021-12-07",17,"SH20","10SH20",31,41,29,0.1,0
"2021-12-07",17,"SH60","1SH60",35,35,40,0.1,0
"2021-12-07",17,"SH60","2SH60",30,29,35,0.11,0
"2021-12-07",17,"SH60","3SH60",79,34,31,0.09,0
"2021-12-07",17,"SH60","4SH60",118,32,25,0.09,0
"2021-12-07",17,"SH60","5SH60",65,30,29,0.11,0
"2021-12-07",17,"SH60","6SH60",80,27,40,0.11,0
"2021-12-07",17,"SH60","7SH60",33,44,41,0.12,0
"2021-12-07",17,"SH60","8SH60",95,43,31,0.12,0
"2021-12-07",17,"SH60","9SH60",28,29,25,0.1,0
"2021-12-07",17,"SH60","10SH60",75,44,26,0.1,0
"2021-12-20",18,"FL","1FL",40,40,32,0.1,0
"2021-12-20",18,"FL","2FL",70,40,41,0.1,0
"2021-12-20",18,"FL","3FL",150,40,39,0.09,0
"2021-12-20",18,"FL","4FL",67,40,31,0.09,0
"2021-12-20",18,"FL","5FL",30,41,34,0.11,0
"2021-12-20",18,"FL","6FL",78,41,34,0.13,0
"2021-12-20",18,"FL","7FL",70,41,30,0.13,0
"2021-12-20",18,"FL","8FL",110,30,20,0.11,0
"2021-12-20",18,"FL","9FL",23,20,22,0.1,0
"2021-12-20",18,"FL","10FL",85,22,34,0.12,0
"2021-12-20",18,"SH20","1SH20",80,60,30,0.11,0
"2021-12-20",18,"SH20","2SH20",62,40,40,0.11,0
"2021-12-20",18,"SH20","3SH20",28,30,31,0.12,0
"2021-12-20",18,"SH20","4SH20",160,30,44,0.1,0
"2021-12-20",18,"SH20","5SH20",26,45,45,0.09,0
"2021-12-20",18,"SH20","6SH20",60,43,36,0.08,0
"2021-12-20",18,"SH20","7SH20",80,30,36,0.1,0
"2021-12-20",18,"SH20","8SH20",75,38,34,0.1,0
"2021-12-20",18,"SH20","9SH20",35,36,33,0.12,0
"2021-12-20",18,"SH20","10SH20",85,45,31,0.09,0
"2021-12-20",18,"SH60","1SH60",95,30,30,0.2,0
"2021-12-20",18,"SH60","2SH60",100,40,40,0.12,0
"2021-12-20",18,"SH60","3SH60",28,40,40,0.13,4
"2021-12-20",18,"SH60","4SH60",40,65,35,0.13,0
"2021-12-20",18,"SH60","5SH60",120,33,35,0.11,0
"2021-12-20",18,"SH60","6SH60",30,43,40,0.2,0
"2021-12-20",18,"SH60","7SH60",60,70,40,0.14,0
"2021-12-20",18,"SH60","8SH60",132,36,33,0.13,0
"2021-12-20",18,"SH60","9SH60",31,30,36,0.11,0
"2021-12-20",18,"SH60","10SH60",69,39,27,0.2,0
"2022-01-10",19,"FL","1FL",24,37,43,0.12,0
"2022-01-10",19,"FL","2FL",60,50,36,0.11,0
"2022-01-10",19,"FL","3FL",120,40,39,0.1,0
"2022-01-10",19,"FL","4FL",74,30,50,0.13,0
"2022-01-10",19,"FL","5FL",39,60,38,0.2,0
"2022-01-10",19,"FL","6FL",120,40,39,0.09,0
"2022-01-10",19,"FL","7FL",45,45,40,0.09,0
"2022-01-10",19,"FL","8FL",40,65,41,0.2,0
"2022-01-10",19,"FL","9FL",56,43,46,0.1,0
"2022-01-10",19,"FL","10FL",70,68,36,0.16,0
"2022-01-10",19,"SH20","1SH20",68,47,40,0.1,0
"2022-01-10",19,"SH20","2SH20",70,60,60,0.1,0
"2022-01-10",19,"SH20","3SH20",40,36,52,0.1,1
"2022-01-10",19,"SH20","4SH20",63,39,38,0.12,0
"2022-01-10",19,"SH20","5SH20",30,40,40,0.12,0
"2022-01-10",19,"SH20","6SH20",100,30,25,0.13,0
"2022-01-10",19,"SH20","7SH20",50,40,46,0.12,0
"2022-01-10",19,"SH20","8SH20",98,50,53,0.1,0
"2022-01-10",19,"SH20","9SH20",65,45,50,0.1,0
"2022-01-10",19,"SH20","10SH20",70,35,38,0.14,0
"2022-01-10",19,"SH60","1SH60",68,42,36,0.25,0
"2022-01-10",19,"SH60","2SH60",40,67,39,0.2,0
"2022-01-10",19,"SH60","3SH60",58,54,42,0.3,4
"2022-01-10",19,"SH60","4SH60",25,49,30,0.1,0
"2022-01-10",19,"SH60","5SH60",70,44,40,0.3,3
"2022-01-10",19,"SH60","6SH60",63,35,40,0.24,0
"2022-01-10",19,"SH60","7SH60",18,49,38,0.21,0
"2022-01-10",19,"SH60","8SH60",52,40,35,0.1,0
"2022-01-10",19,"SH60","9SH60",70,30,40,0.23,0
"2022-01-10",19,"SH60","10SH60",64,40,36,0.25,0
